"id","siafi_code"
l10n_br_base.city_2919207,3685
l10n_br_base.city_2919306,3687
l10n_br_base.city_2919405,3689
l10n_br_base.city_2919504,3691
l10n_br_base.city_2919553,1112
l10n_br_base.city_2919603,3693
l10n_br_base.city_2919702,3695
l10n_br_base.city_2919801,3697
l10n_br_base.city_2919900,3699
l10n_br_base.city_2919926,3293
l10n_br_base.city_2919959,3975
l10n_br_base.city_2920007,3701
l10n_br_base.city_2920106,3703
l10n_br_base.city_2920205,3705
l10n_br_base.city_2920304,3707
l10n_br_base.city_2920403,3709
l10n_br_base.city_2920452,3977
l10n_br_base.city_2920502,3711
l10n_br_base.city_2920601,3713
l10n_br_base.city_2920700,3715
l10n_br_base.city_2920809,3717
l10n_br_base.city_2920908,3719
l10n_br_base.city_2921005,3721
l10n_br_base.city_2921054,3295
l10n_br_base.city_2921104,3723
l10n_br_base.city_2921203,3725
l10n_br_base.city_2921302,3727
l10n_br_base.city_2921401,3729
l10n_br_base.city_2921450,3297
l10n_br_base.city_2921500,3731
l10n_br_base.city_2921609,3733
l10n_br_base.city_2921708,3735
l10n_br_base.city_2921807,3737
l10n_br_base.city_2921906,3739
l10n_br_base.city_2922003,3741
l10n_br_base.city_2922052,3299
l10n_br_base.city_2922102,3743
l10n_br_base.city_2922201,3745
l10n_br_base.city_2922300,3747
l10n_br_base.city_2922409,3749
l10n_br_base.city_2922508,3751
l10n_br_base.city_2922607,3753
l10n_br_base.city_2922656,3979
l10n_br_base.city_2922706,3755
l10n_br_base.city_2922730,3007
l10n_br_base.city_2922755,3009
l10n_br_base.city_2922805,3757
l10n_br_base.city_2922854,3011
l10n_br_base.city_2922904,3759
l10n_br_base.city_2923001,3761
l10n_br_base.city_2923035,3013
l10n_br_base.city_2923050,3015
l10n_br_base.city_2923100,3763
l10n_br_base.city_2923209,3765
l10n_br_base.city_2923308,3767
l10n_br_base.city_2923357,3017
l10n_br_base.city_2923407,3769
l10n_br_base.city_2923506,3771
l10n_br_base.city_2923605,3773
l10n_br_base.city_2923704,3775
l10n_br_base.city_2923803,3777
l10n_br_base.city_2923902,3779
l10n_br_base.city_2924009,3781
l10n_br_base.city_2924058,3981
l10n_br_base.city_2924108,3783
l10n_br_base.city_2924207,3785
l10n_br_base.city_2924306,3787
l10n_br_base.city_2924405,3789
l10n_br_base.city_2924504,3791
l10n_br_base.city_2924603,3793
l10n_br_base.city_2924652,3983
l10n_br_base.city_2924678,3019
l10n_br_base.city_2924702,3795
l10n_br_base.city_2924801,3797
l10n_br_base.city_2924900,3799
l10n_br_base.city_2925006,3801
l10n_br_base.city_2925105,3803
l10n_br_base.city_2925204,3805
l10n_br_base.city_2925253,3021
l10n_br_base.city_2925303,3807
l10n_br_base.city_2925402,3809
l10n_br_base.city_2925501,3811
l10n_br_base.city_2925600,3813
l10n_br_base.city_2925709,3815
l10n_br_base.city_2925758,3023
l10n_br_base.city_2925808,3817
l10n_br_base.city_2925907,3819
l10n_br_base.city_2925931,3025
l10n_br_base.city_2925956,3985
l10n_br_base.city_2926004,3821
l10n_br_base.city_2926103,3823
l10n_br_base.city_2926202,3825
l10n_br_base.city_2926301,3827
l10n_br_base.city_2926400,3829
l10n_br_base.city_2926509,3831
l10n_br_base.city_2926608,3833
l10n_br_base.city_2926657,3027
l10n_br_base.city_2926707,3835
l10n_br_base.city_2926806,3837
l10n_br_base.city_2926905,3839
l10n_br_base.city_2927002,3841
l10n_br_base.city_2927101,3843
l10n_br_base.city_2927200,3845
l10n_br_base.city_2927309,3847
l10n_br_base.city_2927408,3849
l10n_br_base.city_2927507,3851
l10n_br_base.city_2927606,3853
l10n_br_base.city_2927705,3855
l10n_br_base.city_2927804,3857
l10n_br_base.city_2927903,3859
l10n_br_base.city_2928059,3987
l10n_br_base.city_2928109,3863
l10n_br_base.city_2928406,3549
l10n_br_base.city_2928505,3869
l10n_br_base.city_2928000,3861
l10n_br_base.city_2928208,3865
l10n_br_base.city_2928307,3867
l10n_br_base.city_2928604,3871
l10n_br_base.city_2928703,3873
l10n_br_base.city_2928802,3875
l10n_br_base.city_2928901,3877
l10n_br_base.city_2928950,3029
l10n_br_base.city_2929107,3881
l10n_br_base.city_2929008,3879
l10n_br_base.city_2929057,3031
l10n_br_base.city_2929206,3883
l10n_br_base.city_2929255,3989
l10n_br_base.city_2929305,3885
l10n_br_base.city_2929354,3035
l10n_br_base.city_2929370,3033
l10n_br_base.city_2929404,3887
l10n_br_base.city_2929503,3889
l10n_br_base.city_2929602,3891
l10n_br_base.city_2929701,3893
l10n_br_base.city_2929750,3037
l10n_br_base.city_2929800,3895
l10n_br_base.city_2929909,3897
l10n_br_base.city_2930006,3899
l10n_br_base.city_2930105,3901
l10n_br_base.city_2930204,3903
l10n_br_base.city_2930154,3039
l10n_br_base.city_2930303,3905
l10n_br_base.city_2930402,3907
l10n_br_base.city_2930501,3909
l10n_br_base.city_2930600,3911
l10n_br_base.city_2930709,3913
l10n_br_base.city_2930758,3041
l10n_br_base.city_2930766,3043
l10n_br_base.city_2930774,3045
l10n_br_base.city_2930808,3915
l10n_br_base.city_2930907,3917
l10n_br_base.city_2931004,3919
l10n_br_base.city_2931053,3991
l10n_br_base.city_2931103,3921
l10n_br_base.city_2931202,3923
l10n_br_base.city_2931301,3925
l10n_br_base.city_2931350,3993
l10n_br_base.city_2931400,3927
l10n_br_base.city_2931509,3929
l10n_br_base.city_2931608,3931
l10n_br_base.city_2931707,3933
l10n_br_base.city_2931806,3935
l10n_br_base.city_2931905,3937
l10n_br_base.city_2932002,3939
l10n_br_base.city_2932101,3941
l10n_br_base.city_2932200,3943
l10n_br_base.city_2932309,3945
l10n_br_base.city_2932408,3947
l10n_br_base.city_2932457,3047
l10n_br_base.city_2932507,3949
l10n_br_base.city_2932606,3951
l10n_br_base.city_2932705,3953
l10n_br_base.city_2932804,3955
l10n_br_base.city_2932903,3957
l10n_br_base.city_2933000,3959
l10n_br_base.city_2933059,3997
l10n_br_base.city_2933109,3961
l10n_br_base.city_2933158,3995
l10n_br_base.city_2933174,3049
l10n_br_base.city_2933208,3963
l10n_br_base.city_2933257,3051
l10n_br_base.city_2933307,3965
l10n_br_base.city_2933406,3967
l10n_br_base.city_2933455,3999
